osm_id,OCC_TYPE
178741135,office
178741136,office
178741137,office
178741138,office
178741139,office
178741140,office
178741141,residential
178741142,residential
178741143,residential
179510507,civic_transit
179915845,office
180067377,residential
180292688,residential
180292689,office
180351351,residential
180351352,residential
180351354,residential
180351355,residential
180351356,residential
180351357,residential
180351358,residential
180351359,residential
180351360,residential
180483474,residential
180483475,residential
180500551,residential
180500555,residential
180500556,office
180500558,residential
180500559,office
180500560,office
180510627,civic_transit
180510628,residential
180521666,residential
180521667,retail_food
180521668,residential
180521669,residential
180524750,industrial
180524751,office
180524752,retail_food
180524753,industrial
180524755,office
180524756,office
180524757,office
180524758,residential
180524759,office
180524760,residential
180524761,office
180524762,office
180524763,office
180524764,office
180524765,residential
180524766,office
180525718,residential
180525719,residential
180525721,residential
180525722,residential
180525723,residential
180527225,residential
180527226,residential
180527227,residential
180527228,residential
180527229,residential
180527230,residential
180528460,residential
180638220,residential
180638222,residential
181027851,education
181027854,industrial
181365866,education
181366098,education
181366213,education
181368850,education
182913166,office
182994087,other
183109959,hospitality
183111783,hospitality
183111784,residential
183329814,other
183453725,retail_food
183453729,retail_food
183453752,other
183453753,other
183627199,retail_food
183758787,retail_food
183758791,retail_food
183758834,civic_transit
183892258,residential
183892607,office
183914428,religious
183922762,education
183922763,education
183922766,education
183924285,education
183924286,education
183924860,education
183925517,education
184362718,office
184362719,office
185436223,retail_food
194898805,office
194898811,retail_food
194898812,office
194898814,residential
196027330,residential
198984715,retail_food
200619913,education
200626716,office
200628202,office
5723365,industrial
201423239,industrial
201423242,residential
201423243,office
201423252,office
2706322,retail_food
201624518,retail_food
201786020,retail_food
201786023,office
201786026,office
201786029,retail_food
201786030,residential
2710325,office
201921493,residential
201921494,residential
201921495,residential
220048425,retail_food
220635628,residential
225365961,retail_food
225365962,office
225365963,office
225365964,office
225365965,office
225365966,office
232473021,residential
232670724,residential
235367956,residential
235367957,residential
235367958,residential
235367959,residential
235820411,retail_food
235820496,other
235968044,industrial
